sampleId	country	alabels	longitude	latitude	PC1	PC2
ind_474	Croatia	HR	16.1	45.32	0.0111	-0.046
ind_660	Serbia and Montenegro	YG	20.6157230848337	43.9494926410995	-0.03	-0.0443
ind_1890	Czech Republic	CZ	15.3769842272552	49.7366066102774	0.0137	-0.0444
ind_1923	Bosnia and Herzegovina	BA	17.8620230363970	44.1758758177205	0.0028	-0.0493
ind_2083	Serbia and Montenegro	YG	20.6157230848337	43.9494926410995	-0.0031	-0.0416
ind_2733	Serbia and Montenegro	YG	20.6157230848337	43.9494926410995	-0.0026	-0.0424
ind_3467	Serbia and Montenegro	YG	20.6157230848337	43.9494926410995	-0.0241	-0.0478
ind_3548	Romania	RO	24.9821171437008	45.8858243977516	-0.0304	-0.0537
ind_3740	Serbia and Montenegro	YG	20.6157230848337	43.9494926410995	-0.0011	-0.0545
ind_4108	Bosnia and Herzegovina	BA	17.8620230363970	44.1758758177205	0.0048	-0.0588
ind_4506	Bosnia and Herzegovina	BA	17.8620230363970	44.1758758177205	0.001	-0.0539
ind_4819	Serbia and Montenegro	YG	20.6157230848337	43.9494926410995	-0.0314	-0.0508
ind_5238	Bulgaria	BG	25.2182005971862	42.8151664853966	-0.016	-0.0376
ind_5273	Serbia and Montenegro	YG	20.6157230848337	43.9494926410995	-0.0254	-0.0579
ind_5315	Serbia and Montenegro	YG	20.6157230848337	43.9494926410995	-0.0317	-0.0496
ind_5703	Hungary	HU	19.3687924374399	47.1822394595205	-0.0086	-0.0451
ind_6222	Hungary	HU	19.3687924374399	47.1822394595205	0.0149	-0.0462
ind_6632	Hungary	HU	19.3687924374399	47.1822394595205	-0.0104	-0.0416
ind_7474	Czech Republic	CZ	15.3769842272552	49.7366066102774	0.0212	-0.032
ind_7641	Romania	RO	24.9821171437008	45.8858243977516	-0.0061	-0.0422
ind_8135	Serbia and Montenegro	YG	20.6157230848337	43.9494926410995	-0.0192	-0.0561
ind_8469	Romania	RO	24.9821171437008	45.8858243977516	-0.0131	-0.0417
ind_8670	Hungary	HU	19.3687924374399	47.1822394595205	0.0086	-0.0398
ind_9707	Serbia and Montenegro	YG	20.6157230848337	43.9494926410995	0.0028	-0.0497
ind_10108	Serbia and Montenegro	YG	20.6157230848337	43.9494926410995	-0.0109	-0.0488
ind_10189	Hungary	HU	19.3687924374399	47.1822394595205	0.011	-0.0384
ind_11021	Serbia and Montenegro	YG	20.6157230848337	43.9494926410995	-0.003	-0.059
ind_11126	Romania	RO	24.9821171437008	45.8858243977516	0.0099	-0.0532
ind_12887	Bosnia and Herzegovina	BA	17.8620230363970	44.1758758177205	0.0023	-0.047
ind_13011	Slovakia	SK	19.5167408690893	48.7084711361039	-0.057	-0.0215
ind_13067	Serbia and Montenegro	YG	20.6157230848337	43.9494926410995	-0.0078	-0.0512
ind_13419	Bosnia and Herzegovina	BA	17.8620230363970	44.1758758177205	0.0058	-0.0605
ind_13557	Albania	AL	20.0669417599939	41.2010555936319	-0.0354	-0.0491
ind_13912	Hungary	HU	19.3687924374399	47.1822394595205	0.0161	-0.0368
ind_14129	Ukraine	UA	31.3892588389883	49.0619830464609	0.0234	-0.0727
ind_14433	Serbia and Montenegro	YG	20.6157230848337	43.9494926410995	-0.012	-0.0506
ind_14986	Romania	RO	24.9821171437008	45.8858243977516	-0.0119	-0.0558
ind_15097	Romania	RO	24.9821171437008	45.8858243977516	0.0045	-0.0453
ind_15426	Bulgaria	BG	25.2182005971862	42.8151664853966	-0.0202	-0.0431
